,IO_id,Person to screen,NCT Number,Study Title,Brief Summary,Study Status,Study Results,Conditions,Interventions,Sponsor,Collaborators,Phases,Enrollment,Funder Type,Study Type,Study Design,Other IDs,Primary Completion Date,First Posted,Last Update Posted,Locations,Study URL,Medtech (y/n)?,Generative AI (y/n)?,Column1,Column2,Robotic?,"Include?
",Randomise column,Query,2nd review for queries ,2nd reviewer ,Include (y/n)? BG,Include (y/n)? IF,Include (y/n)? KT,Include (y/n)?  KL,Comments (KL),label,tiabs
0,1,Everyone,NCT05817838,Using Family-Based Approaches to Improve Healthy Eating for Southeast Asian Children,"This small scale healthy eating study provides Southeast Asian families with children ages 6 to 11 with a family-based nutrition education, one-on-one interviews to help with motivation to eat health, text messaging, and coupons to purchase health foods and beverages. Since this is a small scale study that is a pilot intervention, the main goal of this intervention is to determine if it is feasible, meaning, can it be done. The second goal of this intervention is to determine if there are meaningful improvements in children's healthy eating patterns, body mass index and HbA1c. The third goal is to see if the intervention improves parent's diet quality, HbA1c and the home food environment. These study findings will be used to determine whether a larger clinical trial is needed, and if so, how it should be done.",NOT_YET_RECRUITING,NO,"Diet, Healthy",BEHAVIORAL: Financial Incentives|BEHAVIORAL: Financial Incentives and Multilevel Multicomponent|OTHER: School Engagement,Brown University,National Institutes of Health (NIH)|University of Connecticut|Center for Southeast Asians|National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK),,150.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION,2022003499|1R01DK128197-01A1,2024-08,18/04/2023,18/04/2023,"Brown University, Providence, Rhode Island, 02912, United States",https://clinicaltrials.gov/study/NCT05817838,,,,,,n,0.176638918,,,,n,N,n,n,,0,"Using Family-Based Approaches to Improve Healthy Eating for Southeast Asian Children This small scale healthy eating study provides Southeast Asian families with children ages 6 to 11 with a family-based nutrition education, one-on-one interviews to help with motivation to eat health, text messaging, and coupons to purchase health foods and beverages. Since this is a small scale study that is a pilot intervention, the main goal of this intervention is to determine if it is feasible, meaning, can it be done. The second goal of this intervention is to determine if there are meaningful improvements in children's healthy eating patterns, body mass index and HbA1c. The third goal is to see if the intervention improves parent's diet quality, HbA1c and the home food environment. These study findings will be used to determine whether a larger clinical trial is needed, and if so, how it should be done."
1,2,Everyone,NCT04777305,The POWER BARIATRIC Trial: Physical Outcomes With Exercise Regimens on BARIATRIC Patients,"This study aims to determine how different types of exercise regimens (resistance, aerobic, or combined exercise regimens) can be used to minimize muscle loss and mobilize body fat in severely obese patients after bariatric surgery (BS), despite the rapid surgery-induced weight loss. Additionally, the study will examine how changes in the intestinal microbiota following BS act as a mediation factor that alter tissue-specific responses in muscle and adipose tissue. The study will also evaluate the effect of different types of exercise regimens on cardiometabolic markers, endocrine response, and physical function following BS.

Sixty sedentary (regular exercise \<1 hour per week) candidates to bariatric surgery at Herzliya Medical Center will be recruited to participate in this six-month-long randomized control study. Participants will be randomly assigned to either one of three exercise regimens intervention groups (aerobic, resistance, or a combined exercise regimen combining aerobic and resistance exercises) or a control group that will receive standard care. Training will be supervised and matched for metabolic equivalent (METs). The intervention will take place at the Sylvan Adams Sports Institute at Tel Aviv University and an online platform.

All measurements will be taken at a presurgical baseline assessment and throughout the study, and will include changes of muscle mass and adipose tissue distribution, measured by a 3-Tesla magnetic resonance imaging (MRI); body composition- will be assessed using multichannel bioelectrical impedance (Seca); Bone mass, will be measured by a Dual-energy X-ray absorptiometry (DEXA); microbiota composition and changes will be evaluated by stool samples that will be subjected to 16S ribosomal ribonucleic acid (16s rRNA) profiling and metagenomics analysis; fasting blood samples will be used to examine endocrine control and cardiometabolic markers; anthropometric measurements to assess surgery results associations with physical activity outcomes and physical function will be assessed by several validated performance assessments, including handgrip, six-minute walk, sit-to-stand, maximum voluntary contraction, and maximal oxygen consumption (VO2max).",RECRUITING,NO,Obesity|Muscle Loss|Adiposity,OTHER: Physical activity training,Tel Aviv University,Herzliya Medical Center,,60.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,0010-20-HMC,30/10/2024,02/03/2021,27/10/2023,"Tel Aviv University, Tel Aviv, Other, 6997801, Israel",https://clinicaltrials.gov/study/NCT04777305,,,,,,n,0.607191072,,,,n,N,n,n,,0,"The POWER BARIATRIC Trial: Physical Outcomes With Exercise Regimens on BARIATRIC Patients This study aims to determine how different types of exercise regimens (resistance, aerobic, or combined exercise regimens) can be used to minimize muscle loss and mobilize body fat in severely obese patients after bariatric surgery (BS), despite the rapid surgery-induced weight loss. Additionally, the study will examine how changes in the intestinal microbiota following BS act as a mediation factor that alter tissue-specific responses in muscle and adipose tissue. The study will also evaluate the effect of different types of exercise regimens on cardiometabolic markers, endocrine response, and physical function following BS. Sixty sedentary (regular exercise \<1 hour per week) candidates to bariatric surgery at Herzliya Medical Center will be recruited to participate in this six-month-long randomized control study. Participants will be randomly assigned to either one of three exercise regimens intervention groups (aerobic, resistance, or a combined exercise regimen combining aerobic and resistance exercises) or a control group that will receive standard care. Training will be supervised and matched for metabolic equivalent (METs). The intervention will take place at the Sylvan Adams Sports Institute at Tel Aviv University and an online platform. All measurements will be taken at a presurgical baseline assessment and throughout the study, and will include changes of muscle mass and adipose tissue distribution, measured by a 3-Tesla magnetic resonance imaging (MRI); body composition- will be assessed using multichannel bioelectrical impedance (Seca); Bone mass, will be measured by a Dual-energy X-ray absorptiometry (DEXA); microbiota composition and changes will be evaluated by stool samples that will be subjected to 16S ribosomal ribonucleic acid (16s rRNA) profiling and metagenomics analysis; fasting blood samples will be used to examine endocrine control and cardiometabolic "
2,3,Everyone,NCT06334029,Observational Study of the Structural-functional Connectome in Patients With Epilepsy,"Over the past decade, the concept of the brain as a complex network has extremely influenced the way regarding how the latter is studied (Bartolomei et al., 2017). The structure of both structural and functional networks within the brain has been related to optimal brain functioning (Duma et al., 2022). This evolution of methods and approaches of investigation has directly impacted the study of epilepsy. An early conception of focal epilepsy was that it was related to the activity of the epileptogenic zone, which was identified as the generative element of seizures. However, what was previously considered focal was found to be network alterations at various levels, thus moving from the epileptogenic zone to the concept of the epileptogenic network. Alterations in both the structural and functional network, compared with a healthy control population, have been identified in various forms of epilepsy from focal to idiopathic generalized epilepsy (Lariviere et al., 2022, Zhang et al., 2009). Often the identification and removal of the epileptogenic network, turns out to be the elective therapy in drug-resistant focal epilepsies. The process of diagnosing and defining the epileptogenic network is still debated today. One of the most widely used methods is the implantation of intracranial electrodes for electroencephalographic recording of seizures (Bartolomei et al., 2017). This methodology carries with it several, albeit controlled, risks to the patient. New noninvasive approaches are being developed seeking to integrate information from structural neuroimaging and cortical electrical activity measured by high-density electroencephalography with external electrodes (Duma et al., 2021). These new approaches also include simulative approaches that exploit individualized information such as cortex geometry and patient-specific white matter connections (Courtiol et al. 2020). Thus, starting from a simple structural and diffusion MRI, which is done in routine clinical examinations, multiple localizing hypotheses of the epileptogenic network can be tested using simulative models and then compared with the real EEG signal as validation. Of great relevance is also to understand how the structural-functional connectome relates to cognitive function in patients with epilepsy, who have a high probability of presenting impaired functioning in one or more cognitive domains.",RECRUITING,NO,Epilepsy,DIAGNOSTIC_TEST: Functional and structural Connectome,IRCCS Eugenio Medea,,,150.0,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,12.2022,22/11/2026,27/03/2024,27/03/2024,"IRCCS E.Medea, Conegliano, Treviso, 31015, Italy",https://clinicaltrials.gov/study/NCT06334029,,,,,,n,0.16005743,,,,n,n,n,,,0,"Observational Study of the Structural-functional Connectome in Patients With Epilepsy Over the past decade, the concept of the brain as a complex network has extremely influenced the way regarding how the latter is studied (Bartolomei et al., 2017). The structure of both structural and functional networks within the brain has been related to optimal brain functioning (Duma et al., 2022). This evolution of methods and approaches of investigation has directly impacted the study of epilepsy. An early conception of focal epilepsy was that it was related to the activity of the epileptogenic zone, which was identified as the generative element of seizures. However, what was previously considered focal was found to be network alterations at various levels, thus moving from the epileptogenic zone to the concept of the epileptogenic network. Alterations in both the structural and functional network, compared with a healthy control population, have been identified in various forms of epilepsy from focal to idiopathic generalized epilepsy (Lariviere et al., 2022, Zhang et al., 2009). Often the identification and removal of the epileptogenic network, turns out to be the elective therapy in drug-resistant focal epilepsies. The process of diagnosing and defining the epileptogenic network is still debated today. One of the most widely used methods is the implantation of intracranial electrodes for electroencephalographic recording of seizures (Bartolomei et al., 2017). This methodology carries with it several, albeit controlled, risks to the patient. New noninvasive approaches are being developed seeking to integrate information from structural neuroimaging and cortical electrical activity measured by high-density electroencephalography with external electrodes (Duma et al., 2021). These new approaches also include simulative approaches that exploit individualized information such as cortex geometry and patient-specific white matter connections (Courtiol et al. 2020). Thus, starti"
3,4,Everyone,NCT04790981,Effect of Motor Imagery Training on Ataxic Children After Medulloblastoma Resection,"Background: after resection of medulloblastoma in children they suffer from signs and symptoms of ataxia which impedes their activities of daily living.

purpose: to investigate the effect motor imagery training on balance, severity of ataxia and gait parameters on children after resection of medulloblastoma.

Methods: Fifty children surfing from cerebellar ataxia after medulloblastoma resection were selected from tumors hospital of Cairo University, their age ranged from seven to nine years old, they were randomly assigned into two matched control and study groups. The control groups received the selected physical therapy program while, the study group received motor imaginary training in addition to the selected physical therapy program. Both groups were evaluated by ataxic rating scale, pediatric berg balance scale and kinematic gait analysis by kinovea software.",COMPLETED,NO,Cerebellar Ataxia,OTHER: motor imaginary training|OTHER: physical thertapy training,Cairo University,,,50.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: TREATMENT,P.T.REC/ 012/001935,01/01/2021,10/03/2021,23/03/2021,"Faculty of Physical Therapy, Giza, Egypt",https://clinicaltrials.gov/study/NCT04790981,,,,,,n,0.646970256,,,,n,n,n,n,,0,"Effect of Motor Imagery Training on Ataxic Children After Medulloblastoma Resection Background: after resection of medulloblastoma in children they suffer from signs and symptoms of ataxia which impedes their activities of daily living. purpose: to investigate the effect motor imagery training on balance, severity of ataxia and gait parameters on children after resection of medulloblastoma. Methods: Fifty children surfing from cerebellar ataxia after medulloblastoma resection were selected from tumors hospital of Cairo University, their age ranged from seven to nine years old, they were randomly assigned into two matched control and study groups. The control groups received the selected physical therapy program while, the study group received motor imaginary training in addition to the selected physical therapy program. Both groups were evaluated by ataxic rating scale, pediatric berg balance scale and kinematic gait analysis by kinovea software."
4,5,Everyone,NCT04847011,Deciphering the Impact of Exposures From the Gut Microbiome-derived Molecular Complex in Human Health and Disease,"The ExpoBiome project will analyze the impact of fasting on patients with Parkinsons's Disease (PD) or rheumatoid arthritis (RA) on a clinical level as well as the effect of fasting on their immune system and gut microbiota. ExpoBiome will combine metagenomics and other ""omics"" \[meta-transcriptomics, meta-proteomics and (meta-)metabolomics\], bioinformatic analyses and biostatistics under a systems biology framework to gain new mechanistic insights into microbiome-immune system interactions in the context of chronic diseases with inflammatory signatures.

Besides a one time crossectional study of healthy participants, patients with RA and PD a longitudinal fasting study with two arms (RA and PD) is planned.",COMPLETED,NO,Rheumatoid Arthritis|Parkinson Disease|Healthy,OTHER: Fasting,Andreas Michalsen,Luxembourg Centre for Systems Biomedicine|Paracelsus-Elena-Klinik Kassel,,183.0,OTHER,INTERVENTIONAL,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,ExpoBiome,26/09/2023,15/04/2021,29/01/2024,"Paracelsus-Elena-Klinik Kassel, Kassel, Hessen, 34128, Germany|CharitÃ© Hochschulambulanz fÃ¼r Naturheilkunde am Immanuel Krankenhaus, Berlin, 14109, Germany",https://clinicaltrials.gov/study/NCT04847011,,,,,,n,0.688340457,,,,n,N,"Also unsure, as it suggests it can identify new genes etc?",,"Unsure on this one, it feels like it should be an exclude and more like predictive AI than generative AI. But mentions identifying anti-inflammatory compounds",0,"Deciphering the Impact of Exposures From the Gut Microbiome-derived Molecular Complex in Human Health and Disease The ExpoBiome project will analyze the impact of fasting on patients with Parkinsons's Disease (PD) or rheumatoid arthritis (RA) on a clinical level as well as the effect of fasting on their immune system and gut microbiota. ExpoBiome will combine metagenomics and other ""omics"" \[meta-transcriptomics, meta-proteomics and (meta-)metabolomics\], bioinformatic analyses and biostatistics under a systems biology framework to gain new mechanistic insights into microbiome-immune system interactions in the context of chronic diseases with inflammatory signatures. Besides a one time crossectional study of healthy participants, patients with RA and PD a longitudinal fasting study with two arms (RA and PD) is planned."
5,6,Everyone,NCT06617884,Home-based Gait and Balance Training in Patients with Movement Disorders,"The research project is an experimental study with three study visits at the study site at the University Hospital DÃ¼sseldorf (UKD) / Heinrich Heine University DÃ¼sseldorf (HHU) and a three-week training phase in a parallel design. Patients with movement disorders (ataxia or Parkinson\&amp;#39;s disease) can take part. The training phase includes individually adapted, targeted, video-based coordination and balance training, which should lead to an improvement in gait and balance. Two different training protocols are carried out in parallel for three weeks each: One with 20 minutes of training per day, four days per week; and one with a training duration of 40 minutes per day, only two days per week. All patients initially take part in a one-week familiarization phase without training and are then randomly assigned to one of the two training protocols or the control group without additional training. In both training phases, the total amount of weekly training time is the same, but the frequency and duration of training sessions per week differs. The patients who were assigned to the control group without additional training can complete the training after their third study visit.",RECRUITING,NO,Ataxia|Parkinson Disease,OTHER: Gait and balance training,Forschungszentrum Juelich,"University Hospital DÃ¼sseldorf|Heinrich-Heine University, Duesseldorf",,80.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (INVESTIGATOR)|Primary Purpose: TREATMENT,2022-1994,2025-07,01/10/2024,01/10/2024,"UniversitÃ¤tsklinikum DÃ¼sseldorf, Institut fÃ¼r Klinische Neurowissenschaften und Medizinische Psychologie, DÃ¼sseldorf, NRW, 40225, Germany",https://clinicaltrials.gov/study/NCT06617884,,,,,,n,0.079061801,,,,n,n,n,n,,0,"Home-based Gait and Balance Training in Patients with Movement Disorders The research project is an experimental study with three study visits at the study site at the University Hospital DÃ¼sseldorf (UKD) / Heinrich Heine University DÃ¼sseldorf (HHU) and a three-week training phase in a parallel design. Patients with movement disorders (ataxia or Parkinson\&amp;#39;s disease) can take part. The training phase includes individually adapted, targeted, video-based coordination and balance training, which should lead to an improvement in gait and balance. Two different training protocols are carried out in parallel for three weeks each: One with 20 minutes of training per day, four days per week; and one with a training duration of 40 minutes per day, only two days per week. All patients initially take part in a one-week familiarization phase without training and are then randomly assigned to one of the two training protocols or the control group without additional training. In both training phases, the total amount of weekly training time is the same, but the frequency and duration of training sessions per week differs. The patients who were assigned to the control group without additional training can complete the training after their third study visit."
6,7,Everyone,NCT04999813,Study on Early Brain Injury Mechanism and Comprehensive Intervention of VCI,"Alzheimer's disease (AD) and vascular dementia (VaD) are the most common forms of senile dementia. Although the animal research of dementia has made remarkable progress, clinical trials of drugs for AD pathology have failed in recent years. The study of dementia based on cell and animal model generally aims at a single mechanism and target, and its results are quite different from the real clinical environment. More and more studies suggest that investigators should shift the focus of research to the early stage of cognitive impairment before dementia. Prevention is more important than cure, and intervention against multi-factors and multi-targets has become an important consensus. A large number of studies have shown that the mechanism of vascular brain injury plays an important role in the pathogenesis of AD and VaD, and many vascular risk factors are interventionable to some extent. Therefore, based on the clinical cohort, in-depth study of vascular cognitive impairment (Vascular cognitive impairment, VCI) has important clinical significance for the effective prevention and treatment of AD and VaD.

The leading team of the project has focused on VCI research for a long time. After nearly 20 years of experimental research and preliminary clinical observation, it is proposed that chronic cerebral ischemia can not only be a clinical disease entity, but also an important pathological basis for the early onset of VCI. This view has recently been supported by a number of authoritative international research evidence. Big data's study of 1171 patients with AD reported by Nature Commun in 2016 shows that the early pathological changes of AD may not be a cascade of amyloid protein (AÎ²), but a decrease in cerebral blood flow. Therefore, this project intends to establish an early clinical research cohort of VCI to focus on three key issues in VCI research and clinical practice: (1) the theory that cerebral hypoperfusion may be an important pathological basis for the occurrence and development of VCI needs direct evidence support from clinical studies, and its mechanism needs further elucidation. (2) Based on the fusion of multimodal MRI of VCI vascular brain injury pathology and PET imaging markers of AÎ² molecular pathology, a multivariate VCI cognitive evaluation model is constructed, and its sensitivity and specificity may be better than the existing VCI diagnostic standards. (3) the protective effect of early comprehensive intervention of vascular risk factors on cognitive decline in VCI may be more effective than that of single risk factor.

The first part of this project is to establish a study cohort of non-demented vascular cognitive impairment(VCIND). Neurocognitive function assessment combined with multimodal MRI including ASL, DCE, DTI and BOLD techniques were used to observe the role of cerebral hypoperfusion in the early stage and progression of VCI. At the same time, the relationship between the changes of blood-brain barrier and neural network and cognitive decline was dynamically observed to verify and explore the effect and mechanism of cognitive impairment caused by cerebral hypoperfusion. The second part studies the pathology of vascular brain injury based on MRI and the molecular pathology of A Î² based on PET and the relationship between AÎ² molecular pathology and cognitive impairment, including the main factors affecting cognitive function, and uses artificial intelligence (AI) algorithm to develop a multiple quantitative evaluation system of VCI cognitive function, which is mainly based on the fusion of MRI and PET image markers. In the third part, a multicenter randomized controlled clinical cohort study was conducted to observe the cognitive protective effect of comprehensive intensive intervention of vascular risk factors on early VCI, so as to provide direct clinical evidence and intervention model for the prevention and treatment of VCI. The topics of the above three aspects covered by this project are closely related, which is not only a key scientific problem, but also an important clinical problem to be solved in the diagnosis and treatment of VCI.

The study of this project is expected to further clarify the role and mechanism of cerebral hypoperfusion in VCI, provide a new theoretical basis for the prevention and treatment of dementia, and develop a quantitative evaluation system of VCI cognitive function mainly based on imaging technology and AI algorithm, so as to provide a more accurate and convenient diagnostic tool for early clinical identification and scientific research of VCI. Draw up the early comprehensive intervention paradigm of VCI based on vascular risk factors and popularize it in clinic, gradually form an expert consensus, enrich and update the guidelines for diagnosis and treatment of dementia, and effectively improve the level of prevention and treatment of dementia related to VCI.",UNKNOWN,NO,Vascular Cognitive Impairment,COMBINATION_PRODUCT: Comprehensive intensive intervention,Zhongnan Hospital,,,600.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: PREVENTION,Junjian Zhang,2023-11,11/08/2021,11/08/2021,"Zhongnan Hospital, Wuhan, Hubei, 430071, China",https://clinicaltrials.gov/study/NCT04999813,,,,,,n,0.940519064,,,,n,n,n,n,"develop a quantitative evaluation system of VCI cognitive function mainly based on imaging technology and AI algorithm, so as to provide a more accurate and convenient diagnostic tool for early clinical identification and scientific research of Vascular Cognitive Impairment (VCI)",0,"Study on Early Brain Injury Mechanism and Comprehensive Intervention of VCI Alzheimer's disease (AD) and vascular dementia (VaD) are the most common forms of senile dementia. Although the animal research of dementia has made remarkable progress, clinical trials of drugs for AD pathology have failed in recent years. The study of dementia based on cell and animal model generally aims at a single mechanism and target, and its results are quite different from the real clinical environment. More and more studies suggest that investigators should shift the focus of research to the early stage of cognitive impairment before dementia. Prevention is more important than cure, and intervention against multi-factors and multi-targets has become an important consensus. A large number of studies have shown that the mechanism of vascular brain injury plays an important role in the pathogenesis of AD and VaD, and many vascular risk factors are interventionable to some extent. Therefore, based on the clinical cohort, in-depth study of vascular cognitive impairment (Vascular cognitive impairment, VCI) has important clinical significance for the effective prevention and treatment of AD and VaD. The leading team of the project has focused on VCI research for a long time. After nearly 20 years of experimental research and preliminary clinical observation, it is proposed that chronic cerebral ischemia can not only be a clinical disease entity, but also an important pathological basis for the early onset of VCI. This view has recently been supported by a number of authoritative international research evidence. Big data's study of 1171 patients with AD reported by Nature Commun in 2016 shows that the early pathological changes of AD may not be a cascade of amyloid protein (AÎ²), but a decrease in cerebral blood flow. Therefore, this project intends to establish an early clinical research cohort of VCI to focus on three key issues in VCI research and clinical practice: (1) the theory that "
7,8,Everyone,NCT06175169,IA Model for Acute Appendicitis in CT,"the investigators's study group has developed a fully automated 3D convolutional neural network (CNN)-based diagnostic framework using information of appendix (IA) model to identify non-appendicitis and simple and complicated appendicitis on CT scan images based on the two-stage binary classification algorithm, as a clinician does for deciding treatment. The dataset was built from a large population of patients visiting emergency departments who underwent intravenous contrast-enhanced abdominopelvic CT examinations to evaluate abdominal pain in the right or lower quadrant area as the chief complaint. Recently, the IA model was externally validated using a dataset of multicenter institutions through data exfiltration. In this study, the investigators hypothesized that the IA model would show a comparable negative appendicitis rate of \<10% non-inferior margins compared to non-radiologists with a shorter interpretation time in a prospectively randomized dataset.",RECRUITING,NO,Acute Appendicitis,DEVICE: Information of Appendix (IA) model,Hallym University Medical Center,Doheon Institute for Digital Innovation In Medicine|Medical A.I. Center of Hallym University,,568.0,OTHER,INTERVENTIONAL,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: SINGLE (PARTICIPANT)|Primary Purpose: DIAGNOSTIC,Project MHo4,31/12/2024,18/12/2023,18/12/2023,"Hallym University Medical Center, Anyang, Gyeonggi-do, 14068, Korea, Republic of",https://clinicaltrials.gov/study/NCT06175169,,,,,,n,0.28040324,,,,n,n,,n,"A deep learning model, ""Information of Appendix (IA),"" based on a fully automated 3D convolutional neural network using transfer learning, has been developed to diagnose appendicitis in an abdominopelvic CT scan. Again think this is more likely predictive AI",0,"IA Model for Acute Appendicitis in CT the investigators's study group has developed a fully automated 3D convolutional neural network (CNN)-based diagnostic framework using information of appendix (IA) model to identify non-appendicitis and simple and complicated appendicitis on CT scan images based on the two-stage binary classification algorithm, as a clinician does for deciding treatment. The dataset was built from a large population of patients visiting emergency departments who underwent intravenous contrast-enhanced abdominopelvic CT examinations to evaluate abdominal pain in the right or lower quadrant area as the chief complaint. Recently, the IA model was externally validated using a dataset of multicenter institutions through data exfiltration. In this study, the investigators hypothesized that the IA model would show a comparable negative appendicitis rate of \<10% non-inferior margins compared to non-radiologists with a shorter interpretation time in a prospectively randomized dataset."
8,9,Everyone,NCT06165978,Physical Activity Coaching in Patients With Post-COVID-19,"This randomized clinical trial aims to compare the effects of a 12-week behavioral physical activity intervention (i.e., physical activity coaching) with usual care (i.e., World Health Organization recommendations for being physically active) in patients with post-COVID-19 (i.e., patients who suffered from COVID-19 at any degree of severity in acute phase and experience symptoms for at least three months after discharge).

This study aims to answer the following question:

1) Which are the effects of a physical activity coaching intervention compared with usual care in patients post-COVID-19 in the short-, middle- and long-term?",NOT_YET_RECRUITING,NO,Post-COVID-19 Syndrome,BEHAVIORAL: Self-monitoring|BEHAVIORAL: Goal setting and review|BEHAVIORAL: Education|BEHAVIORAL: Feedback|BEHAVIORAL: Contact|BEHAVIORAL: Exercise|BEHAVIORAL: Report|BEHAVIORAL: Social support|BEHAVIORAL: Group activities|BEHAVIORAL: World Health Organization recommendations for being physically active,University of Alcala,Colegio Profesional de Fisioterapeutas de la Comunidad de Madrid,,162.0,OTHER,INTERVENTIONAL,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT",CEID/2023/3/072,31/12/2026,12/12/2023,19/12/2023,"University of AlcalÃ¡, AlcalÃ¡ de Henares, Madrid, 28805, Spain",https://clinicaltrials.gov/study/NCT06165978,,,,,,n,0.380298702,,,,n,n,n,n,,0,"Physical Activity Coaching in Patients With Post-COVID-19 This randomized clinical trial aims to compare the effects of a 12-week behavioral physical activity intervention (i.e., physical activity coaching) with usual care (i.e., World Health Organization recommendations for being physically active) in patients with post-COVID-19 (i.e., patients who suffered from COVID-19 at any degree of severity in acute phase and experience symptoms for at least three months after discharge). This study aims to answer the following question: 1) Which are the effects of a physical activity coaching intervention compared with usual care in patients post-COVID-19 in the short-, middle- and long-term?"
9,10,Everyone,NCT05524012,Longitudinal Multimodal Response Assessment During Neoadjuvant Treatment of Rectal Cancer,This pilot study aims to trial multimodal early response assessment to enable therapy adaptions in the context of non-operative therapy strategies of locally advanced rectal cancer (LARC) for development of a non-invasive response prediction model.,RECRUITING,NO,Locally Advanced Rectal Carcinoma|Neoadjuvant Treatment|Radiotherapy|Adaptive Treatment,DIAGNOSTIC_TEST: Blood sample|DEVICE: MRI scan,Jena University Hospital,,,40.0,OTHER,OBSERVATIONAL,Observational Model: |Time Perspective: p,UKJ-PRIMO-2022|CSP-11|LIFE Talent Funds 2022,31/12/2024,01/09/2022,16/10/2024,"Department of Radiotherapy and Radiation Oncology, Jena University Hospital, Jena, Germany",https://clinicaltrials.gov/study/NCT05524012,,,,,,n,0.531208994,,,,n,n,n,n,,0,Longitudinal Multimodal Response Assessment During Neoadjuvant Treatment of Rectal Cancer This pilot study aims to trial multimodal early response assessment to enable therapy adaptions in the context of non-operative therapy strategies of locally advanced rectal cancer (LARC) for development of a non-invasive response prediction model.
