index,raw_response
0,"NO — This is a within-generation pharmacological/stress study in rats measuring CRF mRNA after drug treatment and immobilization stress, with no transgenerational or offspring outcomes reported."
1,"NO — This is a selective-breeding/genetic heritability study across pig lines, not a transgenerational exposure study and it does not report parental exposures causing inherited health effects."
2,NO — This is a clinical trial comparing effects of third-generation beta-blockers on cardiovascular biomarkers in hypertensive patients (smokers vs. nonsmokers) and contains no transgenerational study design or assessment of effects on subsequent generations.
3,"NO — This is a plant mutagenesis and gene-mapping study (a radiation-induced yellow-leaf mutant in rice) rather than a transgenerational study of exposure effects in humans or animals, and it does not assess transmission of exposure-induced health outcomes across generations."
4,NO — This is a review of mitochondrial-targeted therapeutics and does not describe a transgenerational study design or report exposure-driven effects across generations.
5,"NO — This is a qualitative study of adults who were hidden children and their individual/ family experiences, but it does not report a transgenerational study design or systematic assessment of outcomes in subsequent generations."
6,"NO — This study examines transfer of surgical skills across successive cohorts of surgeons (training ""generations"") and patient surgical outcomes, not biological transgenerational exposure research or inheritance of exposure-related health effects."
7,"NO — This is an anatomical imaging study of temporomandibular joints in two camels and does not involve any transgenerational study design, exposures, or inherited outcomes."
8,"NO — This study describes spontaneous malignant progression of a human colon adenoma cell line and xenografts (in vitro/cell-line passages), not a transgenerational study of exposures or effects across generations."
9,"NO — This is a computer-vision paper on vehicle matching and aerial video tracking, not a transgenerational study of exposures or health outcomes in humans or animals."
10,"NO — This is a psychosocial study of adolescents' relationships with their grandparents, not a transgenerational exposure study and it does not assess inheritance of health effects from exposures."
11,NO — This is a phase II clinical trial of chemotherapy in NSCLC patients focused on treatment efficacy/toxicity and does not involve a transgenerational study design or assessment of exposure effects across generations.
12,NO — This is a cross-sectional study of HCV prevalence and risk factors among adult blood donors (assessing current infection and associations with drug use and blood selling) and does not report a transgenerational study design or outcomes in subsequent generations.
13,NO — This is a clinical review on treating nasal/throat conditions and medication safety during pregnancy and does not report a transgenerational study design or assess health effects in subsequent generations.
14,"YES — Unclear: the fragment is ambiguous but suggests a multigenerational/transgenerational context (""grandmother is the mother""), lacking details on exposures or design so it cannot be excluded without further information."
15,"NO — This is a clinical review about dental restoration overhangs and their management, not a transgenerational study of exposures or biological effects across generations."
16,NO — This study reports prescribing changes after a safety warning about types of oral contraceptives and does not involve a transgenerational experimental or observational design examining exposure effects across generations.
17,NO — This is an in vitro study on SH-SY5Y neuroblastoma cells investigating drug effects on DRD2 and oxidative stress and does not use a transgenerational study design or assess inheritance across generations.
18,"NO — This is a clinical trial assessing efficacy, safety and tolerability of glimepiride in adult type 2 diabetes patients and contains no transgenerational study design or assessment of effects in subsequent generations."
19,"YES — The study reports a maternal lineage spanning three generations and documents changes in mitochondrial repeat heteroplasmy between a mother and daughter, indicating a transgenerational (germ-line) investigation of inheritance."
20,NO — This is a case series/screening study linking HCV infection to non-Hodgkin’s lymphoma in affected patients and does not report a transgenerational study design or outcomes across generations.
21,"NO — This is a proposal/illustration of a parent-guidance intervention addressing intergenerational psychopathology, not a transgenerational study reporting exposures and health outcomes across generations."
22,"NO — This is a genetic prenatal diagnostic report about inheritance of fragile X syndrome (carrier/status confirmation across family members), not a transgenerational study of exposures or exposure-induced health effects."
23,YES — Discusses rodent gestational EDC exposure studies reporting epigenetic sperm changes transmitted to subsequent generations and explores a transgenerational hypothesis for reproductive effects (via assisted reproductive technologies).
24,NO — This is a clinical epidemiology study of MRSA carriage and infections in hospitalized cirrhotic patients and does not assess or use a transgenerational study design or report effects in subsequent generations.
25,"NO — This is a management/organizational article about collaboration in Linux and Toyota, not a transgenerational study of exposures or health outcomes in humans or animals."
26,"NO — This paper describes plant cellular patterning and L-system simulations of apical cell lineages and branching in Psilotum/Selaginella, not a transgenerational exposure study nor reporting inherited health effects across generations."
27,NO — This is a retrospective audit of PRN medication use in acute inpatient psychiatric units and does not involve a transgenerational study design or assessment of exposures affecting subsequent generations.
28,NO — Title refers to a class of oral contraceptive pills (third-generation) and gives no indication of a transgenerational study design or exposures affecting subsequent generations.
29,NO — This paper describes calibration protocols and instrumentation for fluorescence spectroscopy in clinical diagnostics and does not involve any transgenerational study design or exposure-to-offspring health outcomes.
30,"NO — This is a genetic mapping/molecular marker development study in turkey and does not involve a transgenerational study design, exposures, or assessment of health effects across generations."
31,NO — This is a case-control study of individual HCV infection risk factors in the same generation and does not use a transgenerational study design or assess exposure effects across generations.
32,"NO — This is a materials/optical spectroscopy study of Yb-doped RbTiOPO4 crystals for laser applications and contains no biological transgenerational study design, exposures, or inheritance outcomes."
33,NO — This is a single clinical case report of genetic ectodermal dysplasia with familial consanguinity and does not describe a transgenerational study of exposure-induced health effects.
34,NO — This is an acute treatment study of bisphosphonate effects on bone resorption in individual nude mice with tumor-induced osteolysis and does not assess transgenerational outcomes or effects in subsequent generations.
35,"YES — Animal transgenerational study: female Wistar rats were exposed lifelong to soy isoflavones and their F1 offspring showed altered mammary gland gene expression and epigenetic marks, indicating a transgenerational exposure-related effect."
36,"NO — This is a mechanistic/clinical discussion of thromboxane/TP receptor roles in diabetes-related atherothrombosis and antiplatelet therapy, with no transgenerational study design or examination of exposures affecting subsequent generations."
37,NO — This is a drug development/clinical-trial summary for prasugrel and contains no indication of a transgenerational study design or multigenerational exposure/outcome assessment.
38,NO — This is a methods paper describing biosensor assays for feline calicivirus protease activity in cell-free and cell culture systems and does not report any transgenerational or multigenerational exposure study or inheritance outcomes.
39,"NO — This is an in vitro/in vivo pharmacologic study testing a COX-2 inhibitor analog on AI-resistant breast cancer cells and tumors in mice, with no transgenerational design or assessment of effects across generations."
40,NO — This is a clinical review of ambulatory parenteral third‑generation cephalosporin use and contains no transgenerational study design or data on intergenerational health effects.
41,NO — This is a pedigree/familial genetics report of autosomal dominant inheritance across generations without any exposure or transgenerational exposure study design.
42,NO — This is a review of randomized controlled trials on antipsychotic efficacy/safety in children and adolescents and does not report a transgenerational study design or effects of exposures across generations.
43,YES — The article discusses experimental and epidemiological evidence that paternal exposures can produce developmental effects transmitted across generations and calls for research and cohorts to study male-mediated transgenerational toxicity.
44,"NO — This paper reports genetic selection and phenotypic performance trends in broiler breeder lines, not a transgenerational exposure study or exposure-driven inheritance of health outcomes."
45,"NO — This is a bacterial cell-level study of DNA replication after amino-acid starvation, not a transgenerational study in humans or whole-animal organisms assessing inheritance of exposure-induced health effects."
46,"YES — Pregnant dams were dosed with TCDD and male reproductive outcomes were measured in their offspring (described as the second generation), indicating a multigenerational/transgenerational whole‑organism study of exposure effects."
47,"NO — This paper examines genetic and maternal-effect inheritance (and direct maternal/embryonic temperature effects) and maps loci across generations, but it does not report an exposure-induced effect transmitted to unexposed subsequent generations in a transgenerational study design."
48,"YES — This human study examines maternal social phobia (an exposure) and its effects on infant social responsiveness, linking parental exposure to offspring outcomes (a transgenerational/intergenerational study design)."
49,"NO — This is an in vitro study of irradiated mammalian cell lines following effects across cell divisions, not a transgenerational study in whole animals or humans, so it does not meet the inclusion criteria."
50,NO — This is a cross-sectional clinical study measuring leptin/ghrelin in patients on antipsychotics and does not use a transgenerational design or assess exposure effects across generations.
51,"NO — This is an analytical chemistry study on Pd(II)-cephalosporin complexes and spectroscopic detection methods, not a transgenerational biological study of exposures or inherited health effects."
52,NO — This is a familial/inheritance study of congenital hip dysplasia across relatives and does not assess transgenerational effects of any exposure or stressor.
53,"NO — This is a methodological paper about evaluation approaches in nursing (fourth‑generation evaluation) and does not describe a transgenerational study design, exposures, or intergenerational health outcomes."
54,"NO — This is a classical genetic inheritance study using inbred strains and crosses to map strain differences in morphine-induced hypothermia, not a transgenerational exposure design examining ancestral exposure effects on subsequent unexposed generations."
55,"NO — This is an institutional/history article about the NASA Astrobiology Institute and does not report any transgenerational study design, exposures, or human/animal research on inherited health effects."
56,YES — This is an experimental transgenerational animal study: five successive generations of mosquitoes were serially challenged with a densonucleosis virus and multi-generation changes in survival and infection prevalence were reported.
57,"NO — This is a genetic QTL linkage study in reciprocal F2 rat crosses mapping loci for bone traits, not an investigation of transgenerational effects of an exposure or stressor."
58,"NO — This is an in vitro biochemical study characterizing oxaliplatin–DNA adducts using calf thymus DNA and mass spectrometry, with no transgenerational study design or reporting of generational health effects."
59,NO — This is a clinical review of chronic myeloid leukemia treatment (BCR-ABL and tyrosine kinase inhibitors) and does not report a transgenerational study design or exposure-induced effects across generations.
60,"NO — This is a cross-sectional study of menstrual hygiene and knowledge transfer among mothers and daughters, not a transgenerational study examining exposures and health outcomes across generations."
61,NO — Editorial comment about endoscopy technology (SolidFlex) and not a transgenerational study nor discussing exposures leading to health outcomes across generations.
62,NO — This is a physics/engineering study of nonlinear shear wave propagation in soft solids and does not report a transgenerational biological study or exposure-related inheritance outcomes.
63,NO — This is a short-term randomized trial of modafinil vs placebo for olanzapine-associated weight gain in the same individuals and does not assess transgenerational or multigenerational effects or inheritance of exposure-related outcomes.
64,NO — This is an acute pharmacologic study in rats investigating seizure mechanisms of first-generation H1-antagonists with no indication of a transgenerational study design or effects on subsequent generations.
65,"NO — This is a familial case report of an inherited ABCC8 mutation across three generations (genetic inheritance), not a transgenerational study of an exposure or stressor causing health effects in subsequent generations."
66,NO — This is a physical chemistry/instrumentation study of SF6 gas ionization/decomposition and does not report any transgenerational biological study or organismal exposures.
67,NO — This is a molecular virology/cell biology study of an X‑linked mutation affecting murine leukemia virus replication in mouse cells and does not involve a transgenerational study design or exposure-related inheritance across generations.
68,NO — This is an animal surgical/device implantation study (keratoprosthesis in rabbits) with no transgenerational study design or investigation of exposures affecting subsequent generations.
69,NO — This is a familial case report of congenital biliary atresia and heart disease across two generations with no indication of a transgenerational exposure study or assessment of an exposure/stressor.
70,NO — This is an ex vivo gene-transfer/methods study in hematopoietic progenitor cells and does not report a transgenerational study design or inheritance of exposure effects across generations.
71,"NO — This is a genetic mutation screen in C. elegans identifying genes affecting touch neuron development (using F2 progeny), not a study of transgenerational effects of an exposure or intergenerational transmission of exposure-induced outcomes."
72,"NO — This is a genetic QTL mapping study using F0–F2 crosses to identify inherited loci for immune response in chickens, not a transgenerational study of exposure-induced health effects."
73,NO — This is a clinical review of diagnosis and treatment of allergic rhinitis in school-age children and does not describe a transgenerational study design or exposure-related effects across generations.
74,NO — This is a clinical prospective case-control study of risk factors and prognosis for nosocomial urinary infections in patients and does not involve a transgenerational study design or inheritance of exposure effects.
75,"NO — This is an animal biodistribution/pharmacokinetic study of technetium-labeled dendrimers, not a transgenerational study and it does not assess exposure effects across generations or inheritance."
76,NO — This study addresses mechanisms of antipsychotic-induced hyperprolactinemia in patients (biologically active prolactin vs macroprolactin) and does not describe a transgenerational study design or intergenerational exposure outcomes.
77,YES — Experimental manipulation of maternal dietary carotenoid exposure and cross-fostering of nestlings assesses maternal (transgenerational) effects on offspring phenotype in whole-organism (blue tit) study.
78,YES — This animal study uses a trans-generational design: maternal bacterial immune challenge prior to colony founding and measured effects on offspring antibacterial activity and increased parasite susceptibility.
